Id,Nombre,Institucion,Evento,Ciudad,Lugar,Formato,Fecha,Fecha.inicio,Fecha.fin,anio,Tipo,Cantidad,Rol,Links,observation
1167,20 años de desarrollo AgTech en la EEA Anguil,INTA,Consejo Regional La Pampa San Luis,"victorica, La Pampa",Argentina,In person,agosto de 2018,,,2018,Invited Talk,25,Speaker,,
1168,Análisis de clustering en una región de La Pampa para clasificar sistemas ganaderos preponderantes y estimar emisiones de gases de efecto invernadero,SADIO,CAI 2018 - Congreso Argentino de AgroInformática,,Latin America,In person,05/09/2018,5/9/2018,,2018,Regular Talk,1000,Speaker,,
1169,Cambio climático,INTA. Radio Nacional. ,INTA con Vos/z,Santa Rosa,Argentina,In person,05/07/2018,5/7/2018,,2018,Podcast,1000,Speaker,https://inta.gob.ar/audios/entrevista-a-la-ing-rrnn-anabella-lozza-y-a-la-lic-yanina-bellini-cambio-climatico,
1170,Congreso Argentino de Agroinformática: Un análisis bibliometrico,SADIO,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,06/09/2018,6/9/2018,,2018,Regular Talk,200,Speaker,,
1171,Congreso de Agroinformática 2018,INTA. Radio Nacional. ,INTA con Vos/z,Santa Rosa,Argentina,In person,13/09/2018,13/9/2018,,2018,Podcast,1000,Speaker,https://inta.gob.ar/audios/entrevista-a-la-lic-yanina-bellini-saibene-congreso-de-agroinformatica-2018,
1172,Evaluación del desempeño de productos satelitales para estimar precipitación en Córdoba (Argentina),INTA,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,05/09/2018,5/9/2018,,2018,Regular Talk,,Speaker,,
1173,GeoINTA y Geotecnologías en la nube.,INTA,Visita Alumnos Colegio secundario Enrique Stieben de Anguil. EEA Anguil.,Anguil- La Pampa,Argentina,In person,6/6/2018,6/6/2018,,2018,Regular Talk,35,Speaker,,
1174,La comunidad del lenguaje R en Santa Rosa,R-Ladies,PampaSeg y R-Ladies Santa Rosa,Prado Español- Santa Rosa,Latin America,In person,23/11/2018,23/11/2018,,2018,Invited Talk,,Speaker,,
1175,Manejo de datos con herramientas libre,INTA - Universidad Nacional de La Pampa (UNLPam),,Santa Rosa- La Pampa,Argentina,In person,03/07/2018,3/7/2018,,2018,Course,50,Teacher,,
1176,Mirando la producción de los Proyectos Regionales con Enfoque Territorial (PRETs) EEA Anguil,INTA,Consejo Regional La Pampa San Luis,"Anguil, La Pampa",Argentina,In person,26/12/2018,26/12/2018,,2018,Invited Talk,30,Speaker,,
1177,Monitoreo móvil del programa ProHuerta en La Pampa,SADIO,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,05/09/2018,5/9/2018,,2018,Regular Talk,,Speaker,,
1178,Primer Workshop Inundaciones y geotecnologías aplicadas: interinstitucionalidad y compromiso social,INTA - Universidad Nacional de La Pampa (UNLPam),,Santa Rosa,Argentina,In person,28 y 29 de Agosto de 2018,28/8/2018,29/8/2018,2018,Conference,,Organizer,https://inta.gob.ar/eventos/primer-workshop-inundaciones-y-geotecnologias-aplicadas-interinstitucionalidad-y-compromiso-social,
1179,Relevamiento de la Agricultura Periurbana en una microregión de La Pampa,SADIO,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,06/09/2018,6/9/2018,,2018,Regular Talk,,Speaker,,
1180,Seminario Charlando sobre brecha de género en STEM: AgroInformática y R-Ladies.,INTA,EEA Anguil.,Anguil- La Pampa,Argentina,In person,19/04/2018,19/4/2018,,2018,Regular Talk,,Speaker,,
1181,Setup R Day,R-Ladies,R-Ladies Santa Rosa,INTA Santa Rosa,Argentina,In person,26/02/2018,26/2/2018,,2018,Course,,Teacher,,
1182,Tendências de pesquisa em Agroinformática na Argentina: uma análise histórica,SADIO,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,06/09/2018,6/9/2018,,2018,Regular Talk,,Speaker,,
1183,10 años de la Red de Radares,INTA. Radio Nacional.,INTA con Vos/z,Santa Rosa,Argentina,In person,08/08/2019,8/8/2019,,2019,Podcast,1000,Speaker,https://inta.gob.ar/audios/entrevista-a-la-ing-agr-laura-belmonte-y-la-lic-yanina-bellini-saibene-10-anos-de-la-red-de-radares,
1184,10 años del radar de Anguil.,INTA,EEA Anguil. Alumnos del colegio secundario de Anguil.,Anguil,Argentina,In person,11/10/2019,11/10/2019,,2019,Regular Talk,35,Speaker,,
1185,11vo Congreso Argentino de AgroInformática. 46 JAIIO,INTA-SADIO.,,Salta,Argentina,In person,01/09/2019,1/9/2019,,2019,Conference,300,Chair,,
1186,LatinR 2019 <- Conferencia Latinoamericana de R en Investigación y Desarrollo,LatinR,LatinR 2019,Santiago de Chile,Chile,In person,25 a 27 de septiembre 2019,25/9/2019,27/9/2019,2019,Conference,200,Organizer,https://2019.latinr.org,
1187,Análise das Tendências de pesquisa no Congresso de Agroinformática da Argentina: um estudo regional,INTA-SADIO.,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Argentina,In person,2019,,,2019,Regular Talk,50,Speaker,,
1188,Aplicaciones de Ciencia de Datos.,UADE,Seminario de aplicación.,Online,Argentina,Online,04/11/2019,4/11/2019,,2019,Invited Talk,,Speaker,,
1189,Becas de diversidad rstudio::conf 2020. Te ayudamos a presentar tu postulación!,R-Ladies,R-Ladies Santa Rosa,Prado Español- Santa Rosa,Latin America,In person,13/09/2019,13/9/2019,,2019,Course,,Organizer,,
1191,Ciencia de Datos aplicada al Agro.,INTA. Radio Nacional.,INTA con Vos/z,Santa Rosa,Argentina,In person,11/04/2019,11/4/2019,,2019,Podcast,,Speaker,https://inta.gob.ar/audios/entrevista-a-la-lic-yanina-bellini-ciencia-de-datos-aplicada-al-agro,
1192,Ciencia de Datos aplicada al Agro.,Canal 3,De Fernte Al Campo,Santa Rosa,Argentina,In person,03/05/2019,3/5/2019,,2019,Podcast,2000,Speaker,https://youtu.be/X9L8PsDwod4?si=WZ1m2Uu_sLgiGlFp,
1190,Ciencia de Datos aplicada al Agro.,Colegio Universitario Liceo Informático II. INTA,Jornada Trabajos de Sistemas. ,Anguil- La Pampa,Argentina,In person,15/11/2019,15/11/2019,,2019,Regular Talk,,Speaker,,
1193,Ciencia de Datos con el Radar Meteorológico,Televisión Cooperativa Santa Rosa,AMUCAN,Santa Rosa,Argentina,In person,24/08/2019,24/8/2019,,2019,Podcast,,Speaker,,
1194,Conjunto de datos de imágenes etiquetadas para el desarrollo de aplicaciones de reconocimiento de patrones en el cultivo de girasol,INTA-SADIO.,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,,,2019,Regular Talk,50,Speaker,,
1195,Conjunto de datos de resultados de la Red Nacional de Cultivares de Girasol de INTA,INTA-SADIO.,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,,,2019,Regular Talk,50,Speaker,,
1197,Introducción al lenguaje R,Universidad Nacional de Salta,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,17/09/2019,17/9/2019,,2019,Course,60,Teacher,https://48jaiio.sadio.org.ar/Tutoriales.html,
1196,Curso R desde Cero.,INTA. R-Ladies,INTA. R-Ladies Santa Rosa.,Prado Español- Santa Rosa,Argentina,In person,7 al 28 de Mayo de 2019,7/5/2019,28/5/2019,2019,Course,,Teacher,,"Dos veces por semana, 2 horas"
1198,Desarrollo AgTech con Ciencia de Datos,Universidad Nacional de San Luis (UNSL).,Taller Argentino de Computación Científica (TAC²).,Villa Mercedes,Latin America,In person,5/12/2019,5/12/2019,,2019,Keynote,80,Speaker,,
1199,Evaluación del desempeño de productos satelitales para estimar evapotranspiración en la región pampeana (Argentina),INTA-SADIO.,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,,,2019,Regular Talk,50,Speaker,,
1200,Exploración de Datos,Fundación Banco de La Pampa,,Santa Rosa- La Pampa,Argentina,In person,Octubre-Noviembre,,,2019,Course,15,Teacher,,
1201,Exploración de Datos,Fundación Banco de La Pampa,,Santa Rosa- La Pampa,Argentina,In person,Octubre-Noviembre,,,2019,Course,12,Teacher,,
1202,Geotecnologías en la era del Big Data.,Universidad Nacional de La Pampa.,2019GISDay,UNLPam. Instituto de Geografía.,Argentina,In person,13/11/2019,13/11/2019,,2019,Keynote,200,Speaker,,
1203,Geotecnologías en la Nube,Universidad Nacional de La Pampa,Carrera de Geografía,Santa Rosa,Argentina,In person,30/10/2019,30/10/2019,,2019,Invited Talk,,Speaker,,
1204,Google Earth Engine desde Cero,Universidad Nacional de Salta,,Salta,Latin America,In person,17/09/2019,17/9/2019,,2019,Course,65,Teacher,https://48jaiio.sadio.org.ar/Tutoriales.html,
1205,Modeling with H2O with R,LatinR,LatinR 2019,Santiago de Chile,Chile,In person,25/09/2019,25/9/2019,,2019,Course,30,Teacher Assistant,,
1206,Panel comunidades de práctica: R-Ladies,LatinR,LatinR 2019,Santiago de Chile,Chile,In person,25/09/2019,25/9/2019,,2019,Panel,,Speaker,,
1207,Quién es Quién en la Agroinformática Argentina,SADIO,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,,,2019,Regular Talk,50,Speaker,,
1208,R para análisis científicos reproducibles,INTA,INTA Castelar,Castelar- Buenos Aires- Argentina,Argentina,In person,06/08/2019,6/8/2019,,2019,Course,84,Teacher,,
1209,Radar Meteorológico: uso e interpretación de su información y productos,INTA - Universidad Nacional de La Pampa (UNLPam),,Facultad de Agromia de la UNLPam,Argentina,In person,14/08/2019,14/8/2019,,2019,Course,,Teacher,https://inta.gob.ar/eventos/radar-meteorologico-uso-e-interpretacion-de-su-informacion-y-productos,
1210,RMarkdown: generando reportes automáticos con R,R-Ladies,11° PampaSeg. ,Santa Rosa- La Pampa,Latin America,In person,14/12/2019,14/12/2019,,2019,Course,,Teacher,,
1211,Técnicas de Análisis de Redes Sociales para estudiar la colaboración científica,INTA,Seminarios INTA Anguil,Anguil,Argentina,In person,04/06/2019,4/6/2019,,2019,Invited Talk,,Speaker,https://inta.gob.ar/noticias/seminario-inta-anguil-tecnicas-de-analisis-de-redes-sociales-para-estudiar-la-colaboracion-cientifica,
1212,¡Cierre del año y Tidymodels!,R-Ladies,R-Ladies Argentina,,Argentina,Online,28/12/2020,28/12/2020,,2020,Course,40,Organizer,https://rladiesenargentina.github.io/Resumen_meetups_2020/index.html,
1213,¿Qué es un poster?,R-Ladies,R-Ladies La Paz,,Bolivia,Online,2020-12-12,12/12/2020,,2020,Talk,25,Speaker,https://twitter.com/rladieslapaz,
,12vo Congreso Argentino de AgroInformática. 47 JAIIO,INTA-SADIO.,,,Latin America,Online,01/10/2020,1/10/2020,,2020,Conference,1000,Chair,,
1215,LatinR 2020 <- Conferencia Latinoamericana de R en Investigación y Desarrollo,LatinR,LatinR 2020,,Latin America,Online,7 al 9 de octubre 2020,7/10/2020,9/10/2020,2020,Conference,1000,Chair,https://2020.latinr.org,
1,49 Jornadas Argentinas de Informática e Investigación Operativa,SADIO – FIUBA,,,Latin America,Online,19 al 30 de Octubre de 2020,19/10/2020,30/10/2020,2020,Conference,1000,Chair,https://49jaiio.sadio.org.ar/,
,Aplicaciones de Big Data en el Agro.,Universidad de la Empresa,Diplomatura en AgTech.,,Uruguay,Online,9 y 10 de Octubre 2020.,9/10/2020,10/10/2020,2020,Course,20,Teacher,,Tres horas cada dia
,Ciencia de Datos aplicada al Agro.,Universidad Nacional de Río Negro.,Clase invitada a la cátedra de AgroTICs de Ingeniería Agronómica,Rio Negro,Argentina,Online,22/04/2020,22/4/2020,,2020,Invited Talk,30,Speaker,,
,Ciencia de Datos aplicada al sector agropecuario.,UNICEN.,Diplomatura Universitaria en Inteligencia Artificial,Tandil,Argentina,Online,17/11/2020,17/11/2020,,2020,Invited Talk,65,Speaker,,
,Ciencia de Datos aplicadas al sector agropecuario.,R-Ladies,Ciclo de Charlas de R-Ladies La Paz. Bolivia-,La Paz,Bolivia,Online,04/06/2020,4/6/2020,,2020,Invited Talk,35,Speaker,,
,Ciencias de Datos en el sector agropecuario.,Universidad Nacional de Cordoba,Seminario de matemática aplicada. FAMAF (UNC).,Cordoba,Argentina,Online,14/09/2020,14/9/2020,,2020,Invited Talk,60,Speaker,,
2,Cómo hacer una reunión virtual inolvidable (sin morir en el intento),R-Ladies,R-Ladies Global para el mundo hispanohablante (Se organiza con Argentina- Chile- Perú- Bolivia- España y Ecuador).,,Global,Online,01/07/2020,1/7/2020,,2020,Talk,200,Speaker,https://www.meetup.com/es/rladies-santa-rosa/events/271529806/,
,Comunicando con posters,,Proyecto Internacional de la Alfabetización Estadística,,Bolivia,Online,12/12/2020,12/12/2020,,2020,Invited Talk,150,Speaker,,
9989,Comunidades de práctica en América Latina: R y Colegas.,R Foundation,useR! 2020,,Global,Online,11/07/2020,11/7/2020,,2020,Invited Talk,200,Speaker,,
,Comunidades de práctica para I+D y T+E: R y colegas. Seminario,INTA,,,Argentina,Online,23/10/2020,23/10/2020,,2020,Invited Talk,80,Speaker,,
,Cosechando Datos: el manejo de la información digital.,INTA,,,Argentina,Online,22/09/2020,22/9/2020,,2020,Invited Talk,1000,Speaker,,
,Curso RADAR Meteorológico.,INTA,,,Argentina,Online,22/05/2020,22/5/2020,,2020,Course,25,Teacher,,
,Datos Masivos en el sector Agropecuario,Universidad de la Empresa,Diploma en nuevas tecnologías en el agro.,,Uruguay,Online,junio 2020,1/6/2020,,2020,Course,18,Teacher,,
,Datos Masivos en Politicas Publicas,UNAB,,,Argentina,Online,,,,2020,Course,25,Teacher,,
345,Generando tutoriales interactivos con el paquete learnr.,LatinR,,,Latin America,Online,3/10/2020,3/10/2020,,2020,Course,47,Teacher,"https://github.com/LatinR/talleres-2020, https://www.meetup.com/es/rladies-santa-rosa/events/273513242/",
,Geotecnologías para el monitoreo y cuantificación de inundaciones.,Hidrología Pampeana Aplicada,,Santa Rosa,Argentina,Online,28/04/2020,28/4/2020,,2020,Invited Talk,60,Speaker,,
3,Hacia una red de práctica sobre comunidades de práctica.,Asociación Argentina de Humanidades Digitales.,Noviembre HD,Buenos Aires,Argentina,Online,12/11/2020,12/11/2020,,2020,Panel,100,Speaker,https://www.youtube.com/watch?v=7faW466eccM,
5012,Intro al ABC para dar clases (y hacer otras cosas Online).,INTA,,,Argentina,Online,18/07/2020,18/7/2020,,2020,Course,23,Teacher,,
5013,Intro al ABC para dar clases (y hacer otras cosas Online).,INTA,,,Argentina,Online,20/07/2020,20/7/2020,,2020,Course,18,Teacher,,
5016,Intro al ABC para dar clases (y hacer otras cosas Online).,INTA,,,Argentina,Online,24/07/2020,24/7/2020,,2020,Course,21,Teacher,,
5009,Intro al ABC para dar clases (y hacer otras cosas) Online,INTA,,,Argentina,Online,07/07/2020,7/7/2020,,2020,Course,23,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,
5010,Intro al ABC para dar clases (y hacer otras cosas) Online,INTA,,,Argentina,Online,14/07/2020,14/7/2020,,2020,Course,15,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,
5011,Intro al ABC para dar clases (y hacer otras cosas) Online,INTA,,,Argentina,Online,16/07/2020,16/7/2020,,2020,Course,13,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,
5014,Intro al ABC para dar clases (y hacer otras cosas) Online,INTA,,,Argentina,Online,21/07/2020,21/7/2020,,2020,Course,21,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,
5015,Intro al ABC para dar clases (y hacer otras cosas) Online,INTA,,,Argentina,Online,23/07/2020,23/7/2020,,2020,Course,14,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,
5018,Intro al ABC para dar clases (y hacer otras cosas) Online,INTA,,,Argentina,Online,28/07/2020,28/7/2020,,2020,Course,16,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,
5019,Intro al ABC para dar clases (y hacer otras cosas) Online,INTA,,,Argentina,Online,30/07/2020,30/7/2020,,2020,Course,15,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,
,Introducción a Git (control de versiones) y como usarlo con R y RStudio.,R-Ladies,,,Argentina,Online,18/05/2020,18/5/2020,,2020,Course,60,Teacher,,
5000,Introducción al ABC para enseñar Online,MetaDocencia,,,Argentina,Online,28/03/2020,28/3/2020,,2020,Course,20,Teacher,,
5001,Introducción al ABC para enseñar Online,MetaDocencia,,,Argentina,Online,03/04/2020,3/4/2020,,2020,Course,25,Teacher,,
5002,Introducción al ABC para enseñar Online,MetaDocencia,,,Argentina,Online,04/04/2020,4/4/2020,,2020,Course,21,Teacher,,
5003,Introducción al ABC para enseñar Online,MetaDocencia,,,Argentina,Online,11/04/2020,11/4/2020,,2020,Course,20,Teacher,,
5004,Introducción al ABC para enseñar Online,MetaDocencia,,,Argentina,Online,14/04/2020,14/4/2020,,2020,Course,17,Teacher,,
5005,Introducción al ABC para enseñar Online,INTA/MetaDocencia,,,Argentina,Online,18/04/2020,18/4/2020,,2020,Course,18,Teacher,,
5006,Introducción al ABC para enseñar Online,MetaDocencia,,,Argentina,Online,25/04/2020,25/4/2020,,2020,Course,21,Teacher,,
5007,Introducción al ABC para enseñar Online,MetaDocencia,,,Argentina,Online,02/05/2020,2/5/2020,,2020,Course,26,Teacher,,
5008,Introducción al ABC para enseñar Online,MetaDocencia,,,Argentina,Online,09/05/2020,9/5/2020,,2020,Course,23,Teacher,,
4,Introducción al ABC para enseñar Online,MetaDocencia,,,Argentina,Online,16/05/2020,16/5/2020,,2020,Course,21,Teacher,https://yabellini.netlify.app/courses/intro-abc-online/,
5017,Introducción al ABC para enseñar Online,MetaDocencia,,,Argentina,Online,29/05/2020,29/5/2020,,2020,Course,20,Teacher,,
